date,time,temp,hum,dust,mdust
2024-11-21,06:26:02,23,49,19,19
2024-11-21,06:26:31,23,49,22,22
2024-11-21,06:27:01,23,49,24,24
2024-11-21,06:27:30,23,49,22,22
2024-11-21,06:27:59,23,49,21,21
2024-11-21,06:28:28,23,49,23,22
2024-11-21,06:28:58,23,49,24,23
2024-11-21,06:29:27,23,49,22,22
2024-11-21,06:29:56,23,49,24,24
2024-11-21,06:30:25,23,49,24,23
2024-11-21,06:30:55,23,49,24,24
2024-11-21,06:31:24,23,49,26,24
2024-11-21,06:31:53,23,49,22,22
2024-11-21,06:32:22,23,49,26,25
2024-11-21,06:32:52,23,49,24,24
2024-11-21,06:33:21,23,49,24,22
2024-11-21,06:33:50,23,49,24,23
2024-11-21,06:34:19,23,49,21,21
2024-11-21,06:34:49,23,49,22,22
2024-11-21,06:35:18,23,49,22,22
2024-11-21,06:35:47,23,49,24,23
2024-11-21,06:36:16,23,49,24,24
2024-11-21,06:36:46,23,49,25,23
2024-11-21,06:37:15,23,49,20,20
2024-11-21,06:37:44,23,49,24,23
2024-11-21,06:38:13,23,49,20,20
2024-11-21,06:38:43,23,49,22,22
2024-11-21,06:39:12,23,49,20,20
2024-11-21,06:39:41,23,49,23,22
2024-11-21,06:40:10,23,49,23,22
2024-11-21,06:40:40,23,49,25,24
2024-11-21,06:41:09,23,49,23,23
2024-11-21,06:41:38,23,49,23,23
2024-11-21,06:42:07,23,49,29,26
2024-11-21,06:42:37,23,49,22,22
2024-11-21,06:43:06,23,49,21,21
2024-11-21,06:43:35,23,49,26,26
2024-11-21,06:44:05,23,49,20,19
2024-11-21,06:44:34,23,49,22,21
2024-11-21,06:45:03,23,49,23,22
2024-11-21,06:45:32,23,49,24,23
2024-11-21,06:46:02,23,49,23,23
2024-11-21,06:46:31,23,49,22,20
2024-11-21,06:47:00,23,49,25,25
2024-11-21,06:47:29,23,49,24,22
2024-11-21,06:47:59,23,49,23,23
2024-11-21,06:48:28,23,49,25,25
2024-11-21,06:48:57,23,49,22,19
2024-11-21,06:49:26,23,49,24,24
2024-11-21,06:49:56,23,49,25,23
2024-11-21,06:50:25,23,49,22,21
2024-11-21,06:50:54,23,49,24,24
2024-11-21,06:51:23,23,49,23,22
2024-11-21,06:51:53,23,49,22,22
2024-11-21,06:52:22,23,49,24,22
2024-11-21,06:52:51,23,49,23,23
2024-11-21,06:53:20,23,49,24,22
